system:index,date,hchovcd,lat,long,.geo
20220103T051310_20220104T212449,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T065440_20220104T225518,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T083610_20220105T004256,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T101740_20220105T023341,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T115910_20220105T042138,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T134040_20220105T052501,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T152210_20220105T071729,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T170340_20220105T090415,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T184510_20220105T105916,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T202640_20220105T122844,2022-01-03,-1.4338720764182514E-5,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T220810_20220105T140113,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T234940_20220105T153738,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T013110_20220105T171955,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T031240_20220105T191654,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T045410_20220105T210039,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T063540_20220105T223526,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T081710_20220106T002306,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T095840_20220106T021653,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T114010_20220106T035308,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T132140_20220106T051824,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T150310_20220106T065401,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T164440_20220106T085508,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T182610_20220106T104225,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T200740_20220106T122143,2022-01-04,-2.033629280047049E-4,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T214910_20220106T134206,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T233040_20220106T152813,2022-01-04,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T011210_20220106T165321,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T025340_20220106T185754,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T043510_20220106T204342,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T061640_20220106T221418,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T075810_20220107T000619,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T093941_20220107T015248,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T112111_20220107T033405,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T130241_20220107T051337,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T144411_20220107T064408,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T162541_20220107T082302,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T180711_20220107T102233,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T194841_20220107T115907,2022-01-05,9.580188929228127E-5,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T213011_20220107T132408,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T231141_20220107T145857,2022-01-05,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T005311_20220107T164341,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T023441_20220107T183654,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T041611_20220107T202419,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T055741_20220107T215839,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T073911_20220107T235133,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T092041_20220108T012822,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T110211_20220108T031812,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T124341_20220108T045822,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T142511_20220108T061827,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T160641_20220108T080752,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T174811_20220108T100257,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T192941_20220108T113757,2022-01-06,-1.6172483810787386E-5,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T211111_20220108T130731,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T225242_20220108T143507,2022-01-06,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T003412_20220108T162451,2022-01-07,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T021542_20220108T181255,2022-01-07,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T035712_20220108T200346,2022-01-07,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T053842_20220108T214752,2022-01-07,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T072012_20220108T232937,2022-01-07,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T090142_20220109T011119,2022-01-07,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T104312_20220109T025617,2022-01-07,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T122442_20220109T044245,2022-01-07,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T140612_20220109T060437,2022-01-07,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T154742_20220109T073929,2022-01-07,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T172912_20220109T093626,2022-01-07,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T191042_20220109T112621,2022-01-07,1.5705816343616427E-5,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T205212_20220109T125358,2022-01-07,-1.4524323341918134E-4,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T223342_20220109T141725,2022-01-07,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T001512_20220109T161038,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T015642_20220109T174642,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T033812_20220109T194528,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T051942_20220109T212954,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T070113_20220109T231341,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T084243_20220110T004747,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T102413_20220110T023858,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T120543_20220110T042617,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T134713_20220110T054141,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T152843_20220110T071901,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T171013_20220110T091356,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T185143_20220110T111540,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T203313_20220110T123617,2022-01-08,7.400241884178145E-5,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T221443_20220110T140139,2022-01-08,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T235613_20220110T154711,2022-01-09,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109T013743_20220110T172636,2022-01-09,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109T031913_20220110T191550,2022-01-09,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109T050043_20220110T211159,2022-01-09,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109T064213_20220110T225619,2022-01-09,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
