system:index,date,hchovcd,lat,long,.geo
20210712T165645_20210714T095423,2021-07-12,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T183814_20210714T115550,2021-07-12,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T201944_20210714T133040,2021-07-12,1.3323941799694403E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T220114_20210714T145143,2021-07-12,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T234244_20210714T162239,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T012413_20210714T182638,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T030543_20210714T201222,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T044713_20210714T220417,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T062842_20210714T233804,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T081012_20210715T014143,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T095142_20210715T025049,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T113312_20210715T052110,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T131441_20210715T070410,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T145611_20210715T080401,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T163741_20210715T095924,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T181910_20210715T113305,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T200040_20210715T132529,2021-07-13,3.041940390002799E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T214210_20210715T144042,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T232340_20210715T161623,2021-07-13,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210714T010509_20210715T174938,2021-07-14,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210714T024639_20210715T192642,2021-07-14,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210714T042808_20210715T212715,2021-07-14,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210714T060938_20210715T230253,2021-07-14,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210714T075108_20210716T021532,2021-07-14,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210714T093238_20210716T023815,2021-07-14,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210714T111407_20210716T044619,2021-07-14,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210714T125537_20210716T065109,2021-07-14,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210714T143707_20210716T072953,2021-07-14,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210714T161836_20210716T092812,2021-07-14,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210717T234852_20210719T164614,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T013021_20210719T181756,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T031151_20210719T200158,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T045321_20210719T214448,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T063450_20210719T233323,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T081620_20210720T012605,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T095750_20210720T030947,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T113920_20210720T044651,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T132049_20210720T063950,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T150219_20210720T080019,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T164348_20210720T100241,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T182518_20210720T115245,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T200648_20210720T131313,2021-07-18,3.66774329450087E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T214817_20210720T151421,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718T232947_20210720T162827,2021-07-18,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T011117_20210720T173859,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T025246_20210720T192806,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T043416_20210720T212453,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T061546_20210720T230421,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T075715_20210721T011740,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T093845_20210721T025428,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T112015_20210721T045921,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T130145_20210721T064532,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T144314_20210721T075132,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T162444_20210721T092605,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T180613_20210721T111806,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T194743_20210721T125954,2021-07-19,3.8668601704250154E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T212913_20210721T150427,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719T231042_20210721T155442,2021-07-19,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
