system:index,covcd,date,lat,long,.geo
20210104T003336_20210105T142342,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T021506_20210105T160347,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T035635_20210105T174351,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T053805_20210105T192356,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T071936_20210105T210402,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T090106_20210105T224407,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T104236_20210106T003442,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T122406_20210106T021416,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T140536_20210106T035448,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T154706_20210106T053422,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T172836_20210106T071426,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T191006_20210106T085431,0.04227076098317702,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T205136_20210106T103434,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T223306_20210106T122439,,2021-01-04,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T001436_20210106T140512,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T015606_20210106T154447,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T033736_20210106T172452,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T051906_20210106T190456,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T070036_20210106T204501,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T084206_20210106T222508,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T102336_20210107T001515,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T120506_20210107T015549,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T134636_20210107T033523,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T152806_20210107T051558,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T170936_20210107T171552,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T185106_20210107T152544,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T203236_20210107T101530,0.0415292084216564,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T221406_20210107T120534,,2021-01-05,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T235536_20210107T134609,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T013706_20210107T152553,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T031836_20210107T170550,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T050006_20210107T184600,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T064136_20210107T202605,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T082306_20210107T220608,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T100436_20210107T235613,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T114606_20210108T013647,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T132736_20210108T031624,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T150906_20210108T045626,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T183206_20210108T081655,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T201336_20210108T111822,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T215506_20210108T114637,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T233636_20210108T132651,,2021-01-06,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T011806_20210108T150649,,2021-01-07,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T025936_20210108T164652,,2021-01-07,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T044106_20210108T182657,,2021-01-07,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T062236_20210108T200701,,2021-01-07,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T080407_20210108T214704,,2021-01-07,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T094537_20210108T233709,,2021-01-07,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T112707_20210109T011743,,2021-01-07,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T130837_20210109T025716,,2021-01-07,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T145007_20210109T043720,,2021-01-07,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T163137_20210109T061722,,2021-01-07,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T181307_20210109T075753,,2021-01-07,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T195437_20210109T093730,,2021-01-07,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
