system:index,covcd,date,lat,long,.geo
20221007T102857_20221009T001121,,2022-10-07,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221007T121027_20221009T020133,,2022-10-07,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221007T135156_20221009T034128,,2022-10-07,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221007T153325_20221009T052131,,2022-10-07,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221007T171455_20221009T070134,,2022-10-07,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221007T185624_20221009T084137,,2022-10-07,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221007T203753_20221009T102140,0.03317977115510491,2022-10-07,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221007T221923_20221009T120144,,2022-10-07,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T000052_20221009T135219,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T014221_20221009T153152,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T032351_20221009T171155,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T050520_20221009T185159,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T064649_20221009T203202,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T082819_20221009T221230,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T100948_20221009T235208,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T115118_20221010T014241,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T133247_20221010T032215,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T151416_20221010T050219,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T165545_20221010T064222,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T183715_20221010T082225,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T201844_20221010T100228,0.032105427235351335,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T220014_20221010T114232,,2022-10-08,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221008T234143_20221010T133308,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T012312_20221010T151239,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T030442_20221010T165242,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T044611_20221010T183246,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T062740_20221010T201249,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T080910_20221010T215253,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T095039_20221010T233321,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T113208_20221011T012327,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T131338_20221011T030302,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T145507_20221011T044306,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T163636_20221011T062309,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T181806_20221011T080312,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T195935_20221011T094315,0.032739065587506756,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T214104_20221011T112319,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221009T232234_20221011T131349,,2022-10-09,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T010403_20221011T145325,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T024532_20221011T163329,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T042702_20221011T181333,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T060831_20221011T195336,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T075001_20221011T213339,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T093130_20221011T231342,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T111259_20221012T010359,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T125429_20221012T024349,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T143558_20221012T042352,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T161727_20221012T060355,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T175857_20221012T074359,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T194026_20221012T092404,0.03219372804853556,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T212155_20221012T110408,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221010T230325_20221012T125440,,2022-10-10,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T004454_20221012T143416,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T022623_20221012T161419,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221011T040753_20221012T175422,,2022-10-11,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
