system:index,covcd,date,lat,long,.geo
20210703T025319_20210706T161231,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T043449_20210706T161246,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T061619_20210706T161254,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T075749_20210706T161312,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T093919_20210706T161325,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T112048_20210706T161338,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T130218_20210706T161351,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T144348_20210707T073638,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T162517_20210707T112006,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T180647_20210707T125542,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T194817_20210707T134608,0.02966238930815686,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T212947_20210707T150040,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T231117_20210707T152017,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T005246_20210707T180449,,2021-07-04,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T023416_20210707T205228,,2021-07-04,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T041546_20210707T205312,,2021-07-04,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T055716_20210707T214450,,2021-07-04,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T073846_20210707T214546,,2021-07-04,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T092015_20210707T221327,,2021-07-04,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T110145_20210707T222510,,2021-07-04,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T124315_20210707T231802,,2021-07-04,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T142445_20210708T003233,,2021-07-04,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T160614_20210708T013824,,2021-07-04,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T174744_20210708T044904,,2021-07-04,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T192914_20210708T050430,0.02761610038573173,2021-07-04,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
