,date,lat,long,Parameter Name,mean_ozone
5548,2022-07-21,34.276316,-118.683685,Ozone,0.037826
5572,2022-07-22,34.276316,-118.683685,Ozone,0.039565
5597,2022-07-23,34.276316,-118.683685,Ozone,0.037957
5621,2022-07-24,34.276316,-118.683685,Ozone,0.033522
5645,2022-07-25,34.276316,-118.683685,Ozone,0.034565
5669,2022-07-26,34.276316,-118.683685,Ozone,0.034609
5693,2022-07-27,34.276316,-118.683685,Ozone,0.035609
5733,2022-07-28,34.276316,-118.683685,Ozone,0.038043
5762,2022-07-29,34.276316,-118.683685,Ozone,0.042652
5786,2022-07-30,34.276316,-118.683685,Ozone,0.036609
5811,2022-07-31,34.276316,-118.683685,Ozone,0.04113
5835,2022-08-01,34.276316,-118.683685,Ozone,0.030478
5859,2022-08-02,34.276316,-118.683685,Ozone,0.025609
5883,2022-08-03,34.276316,-118.683685,Ozone,0.03213
5907,2022-08-04,34.276316,-118.683685,Ozone,0.033087
5931,2022-08-05,34.276316,-118.683685,Ozone,0.027696
5955,2022-08-06,34.276316,-118.683685,Ozone,0.028348
5979,2022-08-07,34.276316,-118.683685,Ozone,0.042652
5998,2022-08-08,34.276316,-118.683685,Ozone,0.040696
6038,2022-08-09,34.276316,-118.683685,Ozone,0.045609
6073,2022-08-10,34.276316,-118.683685,Ozone,0.039522
6097,2022-08-11,34.276316,-118.683685,Ozone,0.032696
6121,2022-08-12,34.276316,-118.683685,Ozone,0.039739
6145,2022-08-13,34.276316,-118.683685,Ozone,0.048739
6169,2022-08-14,34.276316,-118.683685,Ozone,0.04587
6193,2022-08-15,34.276316,-118.683685,Ozone,0.045261
6217,2022-08-16,34.276316,-118.683685,Ozone,0.042522
6241,2022-08-17,34.276316,-118.683685,Ozone,0.038522
6271,2022-08-18,34.276316,-118.683685,Ozone,0.038059
6295,2022-08-19,34.276316,-118.683685,Ozone,0.04013
6319,2022-08-20,34.276316,-118.683685,Ozone,0.040217
6354,2022-08-21,34.276316,-118.683685,Ozone,0.03213
6388,2022-08-22,34.276316,-118.683685,Ozone,0.036217
6415,2022-08-23,34.276316,-118.683685,Ozone,0.043652
6439,2022-08-24,34.276316,-118.683685,Ozone,0.040739
6463,2022-08-25,34.276316,-118.683685,Ozone,0.040565
6487,2022-08-26,34.276316,-118.683685,Ozone,0.037478
6512,2022-08-27,34.276316,-118.683685,Ozone,0.032696
6529,2022-08-28,34.276316,-118.683685,Ozone,0.031913
6553,2022-08-29,34.276316,-118.683685,Ozone,0.03013
6577,2022-08-30,34.276316,-118.683685,Ozone,0.034391
6601,2022-08-31,34.276316,-118.683685,Ozone,0.033565
6626,2022-09-01,34.276316,-118.683685,Ozone,0.047875
6665,2022-09-02,34.276316,-118.683685,Ozone,0.055208
6697,2022-09-03,34.276316,-118.683685,Ozone,0.051435
6721,2022-09-04,34.276316,-118.683685,Ozone,0.047696
6745,2022-09-05,34.276316,-118.683685,Ozone,0.054478
6769,2022-09-06,34.276316,-118.683685,Ozone,0.048217
6792,2022-09-07,34.276316,-118.683685,Ozone,0.043348
6816,2022-09-08,34.276316,-118.683685,Ozone,0.036087
6839,2022-09-09,34.276316,-118.683685,Ozone,0.03587
6863,2022-09-10,34.276316,-118.683685,Ozone,0.026957
6888,2022-09-11,34.276316,-118.683685,Ozone,0.029522
6912,2022-09-12,34.276316,-118.683685,Ozone,0.024739
6936,2022-09-13,34.276316,-118.683685,Ozone,0.031913
6981,2022-09-14,34.276316,-118.683685,Ozone,0.032364
7008,2022-09-15,34.276316,-118.683685,Ozone,0.0325
7032,2022-09-16,34.276316,-118.683685,Ozone,0.035304
7050,2022-09-17,34.276316,-118.683685,Ozone,0.038
7079,2022-09-18,34.276316,-118.683685,Ozone,0.028353
7102,2022-09-19,34.276316,-118.683685,Ozone,0.021348
7122,2022-09-20,34.276316,-118.683685,Ozone,0.019435
7159,2022-09-21,34.276316,-118.683685,Ozone,0.022609
7184,2022-09-22,34.276316,-118.683685,Ozone,0.032478
7208,2022-09-23,34.276316,-118.683685,Ozone,0.042913
7232,2022-09-24,34.276316,-118.683685,Ozone,0.040739
7256,2022-09-25,34.276316,-118.683685,Ozone,0.032043
7300,2022-09-26,34.276316,-118.683685,Ozone,0.028
7317,2022-09-27,34.276316,-118.683685,Ozone,0.037217
7341,2022-09-28,34.276316,-118.683685,Ozone,0.045217
7365,2022-09-29,34.276316,-118.683685,Ozone,0.039391
7389,2022-09-30,34.276316,-118.683685,Ozone,0.034913
7414,2022-10-01,34.276316,-118.683685,Ozone,0.034478
7438,2022-10-02,34.276316,-118.683685,Ozone,0.038739
7462,2022-10-03,34.276316,-118.683685,Ozone,0.032391
7486,2022-10-04,34.276316,-118.683685,Ozone,0.034565
7511,2022-10-05,34.276316,-118.683685,Ozone,0.038652
7535,2022-10-06,34.276316,-118.683685,Ozone,0.035261
7557,2022-10-07,34.276316,-118.683685,Ozone,0.03887
7601,2022-10-08,34.276316,-118.683685,Ozone,0.035826
7628,2022-10-09,34.276316,-118.683685,Ozone,0.033348
7652,2022-10-10,34.276316,-118.683685,Ozone,0.03113
7677,2022-10-11,34.276316,-118.683685,Ozone,0.041333
7702,2022-10-12,34.276316,-118.683685,Ozone,0.033773
7726,2022-10-13,34.276316,-118.683685,Ozone,0.029
7750,2022-10-14,34.276316,-118.683685,Ozone,0.039609
7774,2022-10-15,34.276316,-118.683685,Ozone,0.033913
7798,2022-10-16,34.276316,-118.683685,Ozone,0.02913
7821,2022-10-17,34.276316,-118.683685,Ozone,0.025739
7845,2022-10-18,34.276316,-118.683685,Ozone,0.032739
7869,2022-10-19,34.276316,-118.683685,Ozone,0.030261
7914,2022-10-20,34.276316,-118.683685,Ozone,0.033957
7940,2022-10-21,34.276316,-118.683685,Ozone,0.039
7964,2022-10-22,34.276316,-118.683685,Ozone,0.040261
7988,2022-10-23,34.276316,-118.683685,Ozone,0.034957
8012,2022-10-24,34.276316,-118.683685,Ozone,0.033957
8036,2022-10-25,34.276316,-118.683685,Ozone,0.026435
8060,2022-10-26,34.276316,-118.683685,Ozone,0.028609
8083,2022-10-27,34.276316,-118.683685,Ozone,0.030957
8107,2022-10-28,34.276316,-118.683685,Ozone,0.029087
8131,2022-10-29,34.276316,-118.683685,Ozone,0.034696
8155,2022-10-30,34.276316,-118.683685,Ozone,0.038087
8180,2022-10-31,34.276316,-118.683685,Ozone,0.027524
8228,2022-11-01,34.276316,-118.683685,Ozone,0.038739
8252,2022-11-02,34.276316,-118.683685,Ozone,0.030435
8276,2022-11-03,34.276316,-118.683685,Ozone,0.026217
8300,2022-11-04,34.276316,-118.683685,Ozone,0.022174
8322,2022-11-05,34.276316,-118.683685,Ozone,0.024435
8341,2022-11-06,34.276316,-118.683685,Ozone,0.027043
8363,2022-11-07,34.276316,-118.683685,Ozone,0.026087
8385,2022-11-08,34.276316,-118.683685,Ozone,0.031696
8407,2022-11-09,34.276316,-118.683685,Ozone,0.026348
8432,2022-11-10,34.276316,-118.683685,Ozone,0.034826
8457,2022-11-11,34.276316,-118.683685,Ozone,0.034913
8481,2022-11-12,34.276316,-118.683685,Ozone,0.023348
8528,2022-11-13,34.276316,-118.683685,Ozone,0.027826
8552,2022-11-14,34.276316,-118.683685,Ozone,0.020941
8576,2022-11-15,34.276316,-118.683685,Ozone,0.027471
8596,2022-11-16,34.276316,-118.683685,Ozone,0.042217
8620,2022-11-17,34.276316,-118.683685,Ozone,0.035783
8644,2022-11-18,34.276316,-118.683685,Ozone,0.031391
8668,2022-11-19,34.276316,-118.683685,Ozone,0.044348
8693,2022-11-20,34.276316,-118.683685,Ozone,0.043913
8718,2022-11-21,34.276316,-118.683685,Ozone,0.029522
8742,2022-11-22,34.276316,-118.683685,Ozone,0.028739
8766,2022-11-23,34.276316,-118.683685,Ozone,0.026783
8790,2022-11-24,34.276316,-118.683685,Ozone,0.044043
8834,2022-11-25,34.276316,-118.683685,Ozone,0.033043
8855,2022-11-26,34.276316,-118.683685,Ozone,0.024217
8879,2022-11-27,34.276316,-118.683685,Ozone,0.028391
