system:index,date,lat,long,vcd,.geo
20220702T141856_20220704T061223,2022-07-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T160025_20220704T074422,2022-07-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T174155_20220704T094501,2022-07-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T192325_20220704T112728,2022-07-02,34.19925,-118.53276,0.13524746761565765,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T210455_20220704T130803,2022-07-02,34.19925,-118.53276,0.13639102876180603,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T224625_20220704T144128,2022-07-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T002754_20220704T160829,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T020924_20220704T174434,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T035054_20220704T193526,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T053224_20220704T213129,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T071353_20220704T230827,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T085523_20220705T011011,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T103653_20220705T024508,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T121823_20220705T043434,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T135953_20220705T055955,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T154122_20220705T072259,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T172252_20220705T092112,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T190422_20220705T110340,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T204552_20220705T125352,2022-07-03,34.19925,-118.53276,0.13875603039362724,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T222722_20220705T142106,2022-07-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T000851_20220705T155005,2022-07-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T015021_20220705T172517,2022-07-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T033151_20220705T191023,2022-07-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T051321_20220705T210913,2022-07-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T065450_20220705T225551,2022-07-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T083620_20220706T004516,2022-07-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T101750_20220706T022935,2022-07-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T115920_20220706T041434,2022-07-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T134050_20220706T054427,2022-07-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T152219_20220706T070839,2022-07-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T170349_20220706T085713,2022-07-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
