system:index,date,lat,long,vcd,.geo
20210106T031836_20210107T204745,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T050006_20210107T222038,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T064136_20210107T235158,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T082306_20210108T015426,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T100436_20210108T033327,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T114606_20210108T055133,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T132736_20210108T064805,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T150906_20210108T083749,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T183206_20210108T084659,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T201336_20210108T144745,2021-01-06,34.1326,-118.1272,0.12623797563395364,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T215506_20210108T150639,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T233636_20210108T163211,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T011806_20210108T181339,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T025936_20210108T201753,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T044106_20210108T220233,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T062236_20210108T234424,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107T080407_20210109T012640,2021-01-07,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
