system:index,date,lat,long,no2vcd,.geo
20210702T233020_20210706T193828,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T011150_20210706T194042,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T025319_20210707T090922,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T043449_20210707T091825,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T061619_20210707T092416,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T075749_20210707T093936,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T093919_20210707T153010,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T112048_20210707T153756,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T130218_20210707T154825,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T144348_20210707T185851,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T162517_20210707T211704,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T180647_20210707T225028,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T194817_20210708T004540,2021-07-03,34.181977,-118.363036,9.357900940086552E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T212947_20210708T004155,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T231117_20210708T021621,2021-07-03,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T005246_20210708T023122,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T023416_20210708T022143,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T041546_20210708T044357,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T055716_20210708T050814,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T073846_20210708T051419,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T092015_20210708T074416,2021-07-04,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
